Project # 		AZ 	"PD 
(GWAS)"	"LRRK2
Pathway"	Lyso	1			2			3			3---2			4			5			6			6---2			7			8			9			09----02			10			11			12			13			14			18			20			20---2			24			999 - DV			999 - EK			999 - LP			999 - NS			999 - KO			998 - DV			998 - EK			998 - LP			998 - NS			
Project Name						"Mouse Brain
VPS35-D620N vs WT
(Date 20210407)"			"Mouse Lung
VPS35-D620N vs WT
(Date 20210726)"			"MEFs
VPS35-D620N vs WT
(Date 20211217)"			"MEFs
VPS35-D620N vs WT
(Date 20240324)"			"Mouse Brain
VPS35-D620N DMSO vs MLi2
(Date 20230501)"			"Mouse Lung
VPS35-D620N DMSO vs MLi2
(Date 20230215)"			"MEFs
VPS35-D620N DMSO vs MLi2
(Date 20220731)"			"MEFs
VPS35-D620N DMSO vs MLi2
(Date 20240324)"			"Mouse Brain
LRRK2-R1441C vs WT
(Date 20201224)"			"Mouse Lung
LRRK2-R1441C vs WT
(Date 20201224)"			"MEFs
LRRK2-R1441C vs WT
(Date 20210911)"			"MEFs
LRRK2-R1441C vs WT
(Date 20240502)"			"Mouse Brain
LRRK2-KO vs WT
(Date 20230601)"			"Mouse Lung
LRRK2-KO vs WT
(Date 20230507)"			"MEFs
LRRK2-KO vs WT
(Date 20240619)"			"Mouse Brain
GBA-D409V vs WT
(Date 20220301)"			"Mouse Lung
GBA-D409V vs WT
(Date 20220701)"			"MEFs
LRRK2-R1441C DMSO vs MLi2
(Date 20220319)"			"Mouse Lung
LRRK2-G2019S vs WT
(Date 20231218)"			"Mouse Lung
LRRK2-G2019S vs WT
(Date 20240624)"			"MEFs
D620N WT vs LRRK2-KO
(Date 20240503)"			"A549
GBA-D409V vs WT
(Date 20220701)"			"A549
GBA-E326K vs WT
(Date 20220701)"			"A549
GBA-L444P vs WT
(Date 20220701)"			"A549
GBA-N370S vs WT
(Date 20220701)"			"A549
GBA-KO vs WT
(Date 20220701)"			"A549
GBA-D409V vs WT (Mito)
(Date 20220814)"			"A549
GBA-E326K vs WT (Mito)
(Date 20220814)"			"A549
GBA-L444P vs WT (Mito)
(Date 20220814)"			"A549
GBA-N370S vs WT (Mito)
(Date 20220814)"			
Uniprot ID	Gene					Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	Conf.	Log2 FC	IP enrich	
A3KFU9	Disp3					0.81	0.50	+										0.52	0.18	+										0.62	-0.36	+										0.31	-0.17	+							0.92	-0.33	+																																											
D3Z5L6	Slc18b1					0.23	-0.24	+	1.21	-0.37	+	2.53	1.17	+	3.23	0.98	+	0.92	0.41	+	0.47	0.38	+	1.28	0.89	+	0.97	0.54	+	0.07	-0.09	+	1.18	0.25	+	1.37	-0.51	+	0.77	0.51	+	0.62	0.34	+	0.44	0.18	+				1.30	-0.67	+	0.67	-0.22	+	1.16	0.58	+	0.21	0.28	+	0.68	0.35	+	0.72	-0.26	+	0.52	0.53	+	0.12	0.17	+	0.68	0.65	+	0.10	0.13	+	0.52	-0.59	+													
O09010	Lfng					0.45	-0.31	+	0.26	-0.16	+							0.56	0.20	+	0.20	-0.08	+							0.45	-0.31	+	2.79	-0.35	-										0.15	0.04	+																																																	
O35082	Kl					0.03	0.03	+										0.21	-0.12	+										0.76	-0.35	+																			0.02	-0.02	+																																											
P16301	Lcat					0.27	0.36	+	1.60	0.47	+							0.46	-0.16	-	0.01	-0.02	-										1.12	0.11	-										0.91	-0.31	+																																																	
P20033	Pdgfa					0.82	-0.64	+							2.56	-0.87	+	0.80	0.28	+							0.40	0.26	+													0.85	0.29	+							0.77	-0.40	+																																											
P21845	Tpsb2					0.43	-0.50	+	0.06	-0.11	+							0.02	0.02	+	0.14	0.16	+							0.02	-0.02	+	0.69	-0.87	+							0.91	-0.44	+	0.99	-1.22	+				1.27	-0.38	+	0.09	-0.10	+																																								
P28293	Ctsg				Lyso	2.98	-1.89	+	1.69	-1.18	+							0.15	0.12	-	0.18	0.25	+							2.02	1.45	+	0.27	-0.10	+							0.11	-0.19	+	1.54	-0.82	+				0.49	0.37	-	0.34	0.21	+				0.19	-0.20	+	0.23	-0.18	+																															
P49290	Epx					1.01	-0.87	+	1.19	-0.78	+							0.08	0.10	+	0.33	0.41	+							1.25	0.94	+	0.26	0.14	+							0.22	0.27	+	0.92	-0.54	+				0.47	-0.30	-	0.44	0.22	+				0.25	0.19	+	0.14	0.10	+																															
P58681	Tlr7				Lyso	0.04	0.04	+	1.24	-0.21	+							0.06	-0.04	+	0.47	0.27	+							0.55	-0.19	-	1.25	-0.34	+							0.42	0.11	+	1.21	-0.33	+				1.10	-0.18	+	0.57	-0.17	+				0.88	0.25	+	0.58	0.17	+																															
P98063	Bmp1					0.14	-0.15	+	1.61	0.42	-	4.06	-0.77	-	5.08	-0.98	-				0.26	-0.12	+	0.94	0.22	-	0.76	0.18	-				0.58	0.10	+	0.54	-0.22	-	1.25	0.38	-	0.46	0.32	-	0.56	-0.15	-	1.72	0.31	-	0.12	-0.05	+	1.03	-0.18	+	0.64	0.24	-	0.25	0.18	-				4.08	-0.75	+	0.01	0.00	-	0.11	0.08	-	0.21	0.14	-	0.36	-0.22	-	1.12	-0.60	-	0.16	-0.07	-	0.16	-0.07	-	0.42	-0.15	-	0.10	0.03	-	
Q00780	Col8a1					0.36	0.30	+	0.96	-0.35	+	5.28	-0.67	-	3.66	-0.58	+				1.40	0.66	+	1.78	-0.45	+	2.74	-0.31	-				0.35	-0.17	+	6.58	2.26	+	7.25	2.95	+				0.73	-0.24	+	0.56	0.22	+				0.55	-0.24	+	1.22	0.76	+				0.13	0.06	+	4.41	2.08	+																												
Q08501	Prlr					0.15	-0.26	+																						0.65	-0.34	-																																																																
Q3TPR7	Tmem184c					0.15	-0.13	+							0.29	0.16	+							1.00	0.33	+	0.88	0.35	+	0.12	0.07	-	1.19	-0.47	+										1.50	-0.39	+	2.03	0.77	+	0.29	-0.08	+	0.61	-0.16	+																																								
Q5DU37	Zfyve26				Lyso	0.16	-0.13	+	1.49	-0.77	+	1.75	-0.56	+	1.30	-0.45	+	0.04	-0.02	+	0.02	0.02	+	0.47	0.21	+	0.54	0.19	+	0.12	-0.08	+	0.70	-0.16	+	0.41	0.10	+	5.12	1.94	+	0.02	0.02	+	0.99	-0.37	+	0.44	-0.26	+	0.94	-0.33	+	0.03	0.01	+				0.67	-0.34	+	0.03	-0.02	+	1.54	0.68	+	0.72	0.38	-	0.48	-0.32	-	0.55	0.31	-	0.18	0.13	-	2.52	-1.32	-													
Q61009	Scarb1				Lyso	0.71	-0.33	+	0.04	0.02	+	0.70	0.24	+	2.36	0.50	+				0.01	0.00	+	1.06	0.36	+	1.35	0.39	+	0.03	-0.02	+	0.45	-0.10	+	2.51	0.90	+	3.82	1.29	+				1.05	-0.21	+	1.14	0.34	+				0.89	-0.10	-	0.06	-0.04	+				0.20	0.14	-	3.42	0.92	+	1.26	0.67	+	0.03	0.03	+	1.27	0.68	+	0.81	0.50	+	0.56	0.39	+	1.41	0.14	-	0.34	-0.04	-	0.75	0.09	-	0.56	0.07	-	
