Project # 		AZ 	"PD 
(GWAS)"	"LRRK2
Pathway"	Lyso	1		2		3 (480)		3--2 (astral)		4		5		6		6---2 (Astral)		7		8		9		9---2		10		11		12		13		14		18		20		20---2		24		999 - DV		999 - EK		999 - LP		999 - NS		999 - KO		998 - DV		998 - EK		998 - LP		998 - NS		
Project Name						"Mouse Brain
VPS35-D620N vs WT
(Date 20210407)"		"Mouse Lung
VPS35-D620N vs WT
(Date 20210726)"		"MEFs
VPS35-D620N vs WT
(Date 20211217)"		"MEFs
VPS35-D620N vs WT
(Date 20240324)"		"Mouse Brain
VPS35-D620N DMSO vs MLi2
(Date 20230501)"		"Mouse Lung
VPS35-D620N DMSO vs MLi2
(Date 20230215)"		"MEFs
VPS35-D620N DMSO vs MLi2
(Date 20220731)"		"MEFs
VPS35-D620N DMSO vs MLi2
(Date 20240324)"		"Mouse Brain
LRRK2-R1441C vs WT
(Date 20201224)"		"Mouse Lung
LRRK2-R1441C vs WT
(Date 20201224)"		"MEFs
LRRK2-R1441C vs WT
(Date 20210911)"		"MEFs
LRRK2-R1441C vs WT
(Date 20240502)"		"Mouse Brain
LRRK2-KO vs WT
(Date 20230601)"		"Mouse Lung
LRRK2-KO vs WT
(Date 20230507)"		"MEFs
LRRK2-KO vs WT
(Date 20240619)"		"Mouse Brain
GBA-D409V vs WT
(Date 20220301)"		"Mouse Lung
GBA-D409V vs WT
(Date 20220701)"		"MEFs
LRRK2-R1441C DMSO vs MLi2
(Date 20220319)"		"Mouse Lung
LRRK2-G2019S vs WT
(Date 20231218)"		"Mouse Lung
LRRK2-G2019S vs WT
(Date 20240624)"		"MEFs
D620N WT vs LRRK2-KO
(Date 20240502)"		"A549
GBA-D409V vs WT
(Date 20220701)"		"A549
GBA-E326K vs WT
(Date 20220701)"		"A549
GBA-L444P vs WT
(Date 20220701)"		"A549
GBA-N370S vs WT
(Date 20220701)"		"A549
GBA-KO vs WT
(Date 20220701)"		"A549
GBA-D409V vs WT (Mito)
(Date 20220814)"		"A549
GBA-E326K vs WT (Mito)
(Date 20220814)"		"A549
GBA-L444P vs WT (Mito)
(Date 20220814)"		"A549
GBA-N370S vs WT (Mito)
(Date 20220814)"		
"Uniprot 
ID"	Gene					Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	Conf.	Log2 FC	
A2AMZ4	Ndufaf8					0.15	-0.05																													0.79	-0.50																													
B2RWS6	Ep300					0.39	0.16	0.54	0.17	3.47	-0.18	0.04	-0.01	0.33	-0.06	0.24	-0.08	0.36	0.05	1.16	0.17	1.60	0.53	0.00	0.00	0.52	-0.42	6.49	-0.63	0.30	-0.07	0.23	-0.05	5.39	-0.47					1.16	0.19					0.14	0.04	1.35	-0.14	0.67	-0.10	1.38	-0.16	0.42	-0.05	2.76	-0.24	2.92	0.13	0.11	0.01	2.08	0.15	2.08	0.16	
B9EJR8	Dnaaf5					0.19	-0.10	0.18	0.03	1.17	-0.15	0.14	-0.02	0.58	-0.11	0.73	-0.07	0.08	0.03	0.43	0.12			0.27	-0.07			0.41	-0.08	1.31	0.12	0.10	0.02	2.62	0.21					0.20	-0.11	0.24	0.13	0.31	0.11	2.55	0.54	5.45	-1.05	3.70	-0.73	4.69	-1.26	3.42	-0.49	2.07	-0.49	0.28	0.06	0.75	0.11	0.36	0.07	0.47	0.07	
E9Q1P8;Q8K3X4	Irf2bp2;Irf2bpl					0.23	-0.06	1.97	-0.36	0.11	0.03	0.00	0.00	0.20	-0.07	1.20	-0.24	0.44	0.13	0.60	0.23			0.02	0.01			2.34	-0.88	0.72	0.12	2.09	0.28	5.90	-0.76	0.09	-0.07	1.31	-0.25	0.18	0.26					2.23	0.50	2.44	-0.32	0.61	-0.12	2.20	-0.43	1.57	-0.23	3.15	-0.54	1.91	0.33	0.18	-0.06	0.08	0.03	1.98	0.51	
O35317	Pbx3					0.53	0.25			1.16	0.18			0.09	0.03													0.05	0.05	0.26	0.04									0.05	0.06																									
O89020	Afm					2.31	0.56	1.41	0.80					0.16	0.06	0.15	0.07							0.14	-0.12					0.20	0.08	0.21	0.08			0.07	-0.06	0.35	0.13			0.68	0.49	0.56	0.37																					
P03953	Cfd					0.70	0.37	1.00	0.64					0.66	0.36	0.17	0.12							0.08	-0.11					0.26	0.12	0.56	0.20			0.19	-0.22	0.02	-0.02					0.09	-0.19																					
P04186	Cfb					0.80	-0.39	0.19	-0.12					0.75	-0.30	0.70	-0.29							0.03	0.01					0.72	-0.24	0.70	-0.20			0.33	0.21	0.47	0.25			0.20	0.09	0.12	0.07																					
P07742	Rrm1					0.70	0.34	0.50	0.15	0.71	-0.12	0.67	-0.10	0.61	0.06	1.13	-0.61	0.03	0.01	0.04	-0.02			0.16	-0.05	2.08	-1.12	3.48	-0.30	0.88	-0.09	0.51	-0.06	7.36	0.87					0.43	-0.15	0.26	0.10	0.03	-0.02	0.45	-0.07	5.22	-1.49	3.47	-0.97	4.49	-1.70	3.86	-0.83	2.77	-0.81	0.30	-0.10	0.23	0.07	0.15	0.05	0.09	-0.03	
P09926	Surf2					0.79	-0.11	0.53	0.10	0.70	0.10	0.65	0.11	0.75	-0.07	0.53	-0.11	0.41	0.10	0.52	0.16							4.66	-0.67	0.15	0.04	0.19	-0.05	3.82	-0.80	0.22	-0.13	0.06	-0.02	0.02	0.01					2.13	0.48	3.77	-0.55	1.74	-0.30	3.41	-0.88	1.45	-0.17	0.05	-0.02	2.33	-0.32	1.37	-0.18	3.56	-0.43	0.19	0.05	
P0C7T6	Atxn1l					0.43	0.11	0.71	-0.27	2.89	-0.11	1.16	-0.11	0.08	-0.01	0.35	-0.04	0.39	-0.08	0.71	0.14							0.05	-0.02	0.21	-0.02	1.01	0.10	1.55	0.19					0.01	0.01					0.80	-0.38	0.43	0.05	1.77	0.14	0.45	0.04	0.25	0.03	1.83	-0.13	0.60	0.06	1.84	0.13	0.07	-0.01	1.74	0.11	
P0C872	Jmjd7					0.04	-0.01	0.33	-0.05					0.67	0.06	0.06	0.03													0.67	-0.11	3.22	0.10																																	
P11589	Mup2					0.88	-0.52	0.98	-1.30																											0.38	0.60																													
P12660	Pcp2					0.12	-0.18																							0.09	0.05					0.01	-0.01																													
P18155	Mthfd2					0.87	-0.31			8.40	0.67	9.25	0.85	0.47	0.09			0.09	-0.02	0.07	0.02					3.34	0.76	7.82	0.82					5.45	-0.51					1.75	0.18					3.33	-0.37	8.37	0.48	6.70	0.36	7.21	0.39	5.64	0.35	7.95	0.58	0.06	-0.01	0.57	0.06	1.72	0.11	0.89	-0.07	
P30285	Cdk4					1.41	0.58	1.11	0.14	5.22	-0.57	6.09	-0.54	0.19	0.03	0.50	0.06	0.09	-0.04	0.02	-0.01			0.03	-0.01	0.13	-0.10	5.72	-0.56	0.16	0.04	1.33	0.19	3.94	0.41					0.78	-0.24			0.28	-0.18	1.45	0.19	4.97	-0.98	3.35	-0.57	4.88	-1.19	3.95	-0.62	0.79	0.23	0.40	0.12	0.64	-0.11	0.18	0.06	0.28	0.07	
P35276;P62823;P63011;Q9CZT8	Rab3a;Rab3b;Rab3c;Rab3d					0.03	-0.04																																																											
P40936	Inmt					1.44	0.40	0.26	0.12					1.25	0.21	0.02	0.01					0.85	0.29	0.25	-0.13					0.16	-0.11	0.28	0.04					0.37	0.28			0.57	-0.30	0.01	-0.01																					
P45481	Crebbp					2.02	0.20	0.97	0.15	1.41	-0.10	0.08	0.01	0.79	-0.08	0.28	-0.10	1.66	0.12	0.30	0.06	0.10	-0.07					1.95	-0.26	0.14	-0.06	0.00	0.00	4.76	-0.49	0.29	0.10			0.59	0.19			0.06	-0.06	0.91	0.26	2.98	-0.32	1.59	-0.19	2.16	-0.31	3.65	-0.34	4.11	-0.38	0.40	-0.05	0.46	-0.05	0.01	0.00	0.44	-0.05	
P52624	Upp1					0.06	0.05	0.14	-0.05					0.32	0.07	0.17	0.04							0.33	-0.08			4.61	-1.76	1.40	-0.17	0.35	-0.08	2.97	-2.59													2.98	-0.81	2.35	-0.73	4.43	-1.10	1.43	-0.30	0.25	-0.09	2.12	0.40	0.16	0.05	0.44	0.12	1.00	0.21	
P61092	Siah1a					0.82	-0.30																																																											
P62340	Tbpl1					0.88	0.13	0.02	0.01	4.24	-0.44	2.74	-0.30	0.49	-0.04	1.05	-0.17	0.13	0.05	0.26	-0.12	0.07	-0.04	1.12	-0.22			0.76	-0.13	1.30	0.20	0.39	-0.05	0.22	0.05	0.02	0.01			0.65	0.27					2.68	0.46	4.52	-1.27	2.63	-0.64	4.02	-1.43	4.30	-0.91	1.50	-0.39	1.86	0.27	0.24	-0.08	0.55	0.11	1.89	0.27	
P63101;Q9CQV8	Ywhab;Ywhaz					0.08	-0.13																																																											
P70340;Q62432;Q8BUN5	Smad1;Smad2;Smad3					0.45	0.15																																																											
P97314	Csrp2					0.17	0.08	0.06	-0.02	1.12	0.10	1.99	0.13	0.52	-0.14	0.74	0.13	0.49	-0.06	0.45	0.04	0.59	0.23	0.07	-0.03	0.32	0.13	9.68	-1.05			0.06	-0.02	8.91	0.92	0.02	-0.02	0.58	0.39	0.30	0.12	0.75	0.30	0.45	-0.30	9.66	-1.12	4.53	-0.61	2.82	-0.47	3.08	-0.62	1.20	-0.14	3.73	-0.83	4.36	-0.30	1.03	-0.13	6.14	-0.59	7.66	-0.72	
P97367	Meis2					0.05	-0.05							0.00	0.00															0.49	-0.13																																			
Q04692	Smarcad1					0.41	-0.17	0.35	0.05	0.95	0.07	0.04	0.01	0.01	0.00	1.02	-0.28	0.29	0.07	0.26	0.06					3.07	-0.81	4.56	-0.33	0.04	0.02	0.31	-0.08	4.50	-0.40					0.19	-0.10					4.12	0.65	1.83	-0.19	0.73	-0.11	2.15	-0.30	3.57	-0.23	0.29	-0.06	0.84	0.11	1.17	-0.18	0.14	0.02	1.29	0.12	
Q149F1	Rpusd2					1.79	0.19	0.66	-0.13	1.60	0.12	0.81	0.21	0.81	0.07	1.11	-0.26	0.13	0.05	0.39	-0.21							2.23	-0.35	0.18	0.02	0.60	0.07	0.06	0.02	0.01	0.00									0.02	-0.02	3.80	-0.70	1.33	-0.26	3.21	-0.59	3.03	-0.51	0.08	-0.03	0.64	0.12	0.29	0.07	0.27	0.06	1.37	0.26	
Q3TMV7	Pyroxd1					0.32	0.12	0.67	0.37	1.61	-0.32	0.91	0.26					0.00	0.00											0.69	0.23	0.55	-0.11																																	
